URL	TITLE	H1	RESPONSE_TIME	LEVEL
https://www.moyo.ua/	Интернет-магазин Moyo.ua - магазин техники, электроники, инструментов, гаджетов в Украине | Киев, Львов, Харьков, Одесса, Запорожье, Черкассы	Интернет-магазин	0.43	1
https://www.moyo.ua/gadgets/elektro_transport/giroskutery/	➥ ГИРОСКУТЕР – купить мини сигвей в Киеве и Украине | 𝐌𝐎𝐘𝐎	Гироскутеры	0.93	2
https://www.moyo.ua/tovary_dlya_doma/posuda_dlya_serviriv/nabory_dlja_specij/	НАБОР ДЛЯ СПЕЦИЙ - купить наборы для специй в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине	Наборы для специй	0.61	2
https://www.moyo.ua/instrument/electroinstrument/sverlilnyie_stanki/	СВЕРЛИЛЬНЫЙ СТАНОК - купить сверлильные станки в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине	Сверлильные станки	0.89	2
https://www.moyo.ua/bt/klimaticheskaya-tekh/ochistiteli_vozduha/	Очистители воздуха ᐉ купить в Киеве, Харькове, Днепре, Украине | цена и отзывы на MOYO.ua	Очистители воздуха	0.56	2
https://www.moyo.ua/acsessor/acsessor_for_comp/power_unit/apple/	ЗАРЯДНОЕ ДЛЯ МАКБУКА - купить блок питания для ноутбука Apple в Киеве и Украине | MOYO.ua	Блоки питания (зарядные устройства) для ноутбуков Apple	0.9	2
https://www.moyo.ua/comp-and-periphery/expendables/kartridgi_k_lazernoj/	ᐉ КАРТРИДЖИ К ЛАЗЕРНОЙ ТЕХНИКЕ – купить картриджи к лазерной технике в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине | цена	Картриджи к лазерной технике	0.75	2
https://www.moyo.ua/gadgets/roboti/sbor_nab_dl_meyiker/	ᐉ СТАРТОВЫЕ НАБОРЫ ДЛЯ МЕЙКЕРСТВА – купить стартовые наборы для мейкерства в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине | цена	Стартовые наборы для мейкерства	0.54	2
https://www.moyo.ua/tovary_dlya_doma/osveshhenie/nakal_lamp/	ЛАМПЫ НАКАЛИВАНИЯ - купить лампу накаливания в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине	Лампы накаливания	0.82	2
https://www.moyo.ua/telecommunication/service_smart_tab/uslugi_dlya_smart/	ᐉ УСЛУГИ ДЛЯ СМАРТФОНОВ – купить услуги для смартфонов в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине | цена	Услуги для смартфонов	0.62	2
https://www.moyo.ua/acsessor/cell_phone_acsessor/cell_phone_bags/samsung/	Чехлы для телефонов Samsung – купить чехол для смартфона Самсунг в Киеве и Украине | MOYO.UA	Чехлы для телефонов Samsung	0.67	2
https://www.moyo.ua/bt/tekhnika-dlya-kuhni/acc_dlya_kuhni/	ᐉ АКСЕССУАРЫ К ТОВАРАМ ДЛЯ КУХНИ – купить аксессуары к товарам для кухни в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине | цена	Аксессуары к товарам для кухни	0.78	2
https://www.moyo.ua/instrument/polivnaya_tehnika/shlangi_i_katushki/	ШЛАНГИ ПОЛИВНЫЕ - купить шланг для полива в Киеве, Харькове, Днепропетровске, Одессе, Запорожье и Украине	Шланги для полива	0.61	2
https://www.moyo.ua/game_zone/game?filters=4377_552014&sort=sale-asc	≡ ИГРЫ ПЛАТФОРМА NINTENDO SWITCH – купить игры платформа nintendo switch, цены в Киеве и Украине | Отзывы | MOYO	Игры- Платформа Nintendo Switch	0.84	2
